id	pclass	age	sibsp	parch	fare	sex_female	sex_male	embarked_C	embarked_Q	embarked_S
0	3	22.0	1	0	7.25	0	1	0	0	1
1	1	38.0	1	0	71.2833	1	0	1	0	0
2	3	26.0	0	0	7.925	1	0	0	0	1
5	3		0	0	8.4583	0	1	0	1	0
6	1	54.0	0	0	51.8625	0	1	0	0	1
8	3	27.0	0	2	11.1333	1	0	0	0	1
10	3	4.0	1	1	16.7	1	0	0	0	1
12	3	20.0	0	0	8.05	0	1	0	0	1
14	3	14.0	0	0	7.8542	1	0	0	0	1
15	2	55.0	0	0	16.0	1	0	0	0	1
17	2		0	0	13.0	0	1	0	0	1
18	3	31.0	1	0	18.0	1	0	0	0	1
20	2	35.0	0	0	26.0	0	1	0	0	1
21	2	34.0	0	0	13.0	0	1	0	0	1
22	3	15.0	0	0	8.0292	1	0	0	1	0
27	1	19.0	3	2	263.0	0	1	0	0	1
30	1	40.0	0	0	27.7208	0	1	1	0	0
31	1		1	0	146.5208	1	0	1	0	0
34	1	28.0	1	0	82.1708	0	1	1	0	0
35	1	42.0	1	0	52.0	0	1	0	0	1
37	3	21.0	0	0	8.05	0	1	0	0	1
38	3	18.0	2	0	18.0	1	0	0	0	1
39	3	14.0	1	0	11.2417	1	0	1	0	0
40	3	40.0	1	0	9.475	1	0	0	0	1
45	3		0	0	8.05	0	1	0	0	1
46	3		1	0	15.5	0	1	0	1	0
48	3		2	0	21.6792	0	1	1	0	0
49	3	18.0	1	0	17.8	1	0	0	0	1
50	3	7.0	4	1	39.6875	0	1	0	0	1
51	3	21.0	0	0	7.8	0	1	0	0	1
52	1	49.0	1	0	76.7292	1	0	1	0	0
54	1	65.0	0	1	61.9792	0	1	1	0	0
55	1		0	0	35.5	0	1	0	0	1
60	3	22.0	0	0	7.2292	0	1	1	0	0
62	1	45.0	1	0	83.475	0	1	0	0	1
64	1		0	0	27.7208	0	1	1	0	0
65	3		1	1	15.2458	0	1	1	0	0
66	2	29.0	0	0	10.5	1	0	0	0	1
68	3	17.0	4	2	7.925	1	0	0	0	1
71	3	16.0	5	2	46.9	1	0	0	0	1
74	3	32.0	0	0	56.4958	0	1	0	0	1
75	3	25.0	0	0	7.65	0	1	0	0	1
76	3		0	0	7.8958	0	1	0	0	1
77	3		0	0	8.05	0	1	0	0	1
78	2	0.83	0	2	29.0	0	1	0	0	1
79	3	30.0	0	0	12.475	1	0	0	0	1
81	3	29.0	0	0	9.5	0	1	0	0	1
85	3	33.0	3	0	15.85	1	0	0	0	1
89	3	24.0	0	0	8.05	0	1	0	0	1
90	3	29.0	0	0	8.05	0	1	0	0	1
92	1	46.0	1	0	61.175	0	1	0	0	1
96	1	71.0	0	0	34.6542	0	1	1	0	0
97	1	23.0	0	1	63.3583	0	1	1	0	0
100	3	28.0	0	0	7.8958	1	0	0	0	1
101	3		0	0	7.8958	0	1	0	0	1
102	1	21.0	0	1	77.2875	0	1	0	0	1
103	3	33.0	0	0	8.6542	0	1	0	0	1
104	3	37.0	2	0	7.925	0	1	0	0	1
105	3	28.0	0	0	7.8958	0	1	0	0	1
107	3		0	0	7.775	0	1	0	0	1
108	3	38.0	0	0	7.8958	0	1	0	0	1
109	3		1	0	24.15	1	0	0	1	0
113	3	20.0	1	0	9.825	1	0	0	0	1
116	3	70.5	0	0	7.75	0	1	0	1	0
118	1	24.0	0	1	247.5208	0	1	1	0	0
122	2	32.5	1	0	30.0708	0	1	1	0	0
124	1	54.0	0	1	77.2875	0	1	0	0	1
127	3	24.0	0	0	7.1417	0	1	0	0	1
132	3	47.0	1	0	14.5	1	0	0	0	1
133	2	29.0	1	0	26.0	1	0	0	0	1
140	3		0	2	15.2458	1	0	1	0	0
141	3	22.0	0	0	7.75	1	0	0	0	1
142	3	24.0	1	0	15.85	1	0	0	0	1
144	2	18.0	0	0	11.5	0	1	0	0	1
145	2	19.0	1	1	36.75	0	1	0	0	1
