id	pclass	age	sibsp	sibsp_2	parch	fare	sex_female	sex_male	embarked_C	embarked_Q	embarked_S
0	3	22	1	0	0	7.25000 	0	1	0	0	1
1	1	38	1	0	0	71.28330 	1	0	1	0	0
2	3	26	0	0	0	7.92500 	1	0	0	0	1
5	3		0	0	0	8.45830 	0	1	0	1	0
6	1	54	0	0	0	51.86250 	0	1	0	0	1
8	3	27	0	0	2	11.13330 	1	0	0	0	1
10	3	4	1	0	1	16.70000 	1	0	0	0	1
12	3	20	0	0	0	8.05000 	0	1	0	0	1
14	3	14	0	0	0	7.85420 	1	0	0	0	1
15	2	55	0	0	0	16.00000 	1	0	0	0	1
17	2		0	0	0	13.00000 	0	1	0	0	1
18	3	31	1	0	0	18.00000 	1	0	0	0	1
20	2	35	0	0	0	26.00000 	0	1	0	0	1
21	2	34	0	0	0	13.00000 	0	1	0	0	1
22	3	15	0	0	0	8.02920 	1	0	0	1	0
27	1	19	3	1	2	263.00000 	0	1	0	0	1
30	1	40	0	0	0	27.72080 	0	1	1	0	0
31	1		1	0	0	146.52080 	1	0	1	0	0
34	1	28	1	0	0	82.17080 	0	1	1	0	0
35	1	42	1	0	0	52.00000 	0	1	0	0	1
37	3	21	0	0	0	8.05000 	0	1	0	0	1
38	3	18	2	0	0	18.00000 	1	0	0	0	1
39	3	14	1	0	0	11.24170 	1	0	1	0	0
40	3	40	1	0	0	9.47500 	1	0	0	0	1
45	3		0	0	0	8.05000 	0	1	0	0	1
46	3		1	0	0	15.50000 	0	1	0	1	0
48	3		2	0	0	21.67920 	0	1	1	0	0
49	3	18	1	0	0	17.80000 	1	0	0	0	1
50	3	7	4	1	1	39.68750 	0	1	0	0	1
51	3	21	0	0	0	7.80000 	0	1	0	0	1
52	1	49	1	0	0	76.72920 	1	0	1	0	0
54	1	65	0	0	1	61.97920 	0	1	1	0	0
55	1		0	0	0	35.50000 	0	1	0	0	1
60	3	22	0	0	0	7.22920 	0	1	1	0	0
62	1	45	1	0	0	83.47500 	0	1	0	0	1
64	1		0	0	0	27.72080 	0	1	1	0	0
65	3		1	0	1	15.24580 	0	1	1	0	0
66	2	29	0	0	0	10.50000 	1	0	0	0	1
68	3	17	4	1	2	7.92500 	1	0	0	0	1
71	3	16	5	1	2	46.90000 	1	0	0	0	1
74	3	32	0	0	0	56.49580 	0	1	0	0	1
75	3	25	0	0	0	7.65000 	0	1	0	0	1
76	3		0	0	0	7.89580 	0	1	0	0	1
77	3		0	0	0	8.05000 	0	1	0	0	1
78	2	0.83	0	0	2	29.00000 	0	1	0	0	1
79	3	30	0	0	0	12.47500 	1	0	0	0	1
81	3	29	0	0	0	9.50000 	0	1	0	0	1
85	3	33	3	1	0	15.85000 	1	0	0	0	1
89	3	24	0	0	0	8.05000 	0	1	0	0	1
90	3	29	0	0	0	8.05000 	0	1	0	0	1
92	1	46	1	0	0	61.17500 	0	1	0	0	1
96	1	71	0	0	0	34.65420 	0	1	1	0	0
97	1	23	0	0	1	63.35830 	0	1	1	0	0
100	3	28	0	0	0	7.89580 	1	0	0	0	1
101	3		0	0	0	7.89580 	0	1	0	0	1
102	1	21	0	0	1	77.28750 	0	1	0	0	1
103	3	33	0	0	0	8.65420 	0	1	0	0	1
104	3	37	2	0	0	7.92500 	0	1	0	0	1
105	3	28	0	0	0	7.89580 	0	1	0	0	1
107	3		0	0	0	7.77500 	0	1	0	0	1
108	3	38	0	0	0	7.89580 	0	1	0	0	1
109	3		1	0	0	24.15000 	1	0	0	1	0
113	3	20	1	0	0	9.82500 	1	0	0	0	1
116	3	70.5	0	0	0	7.75000 	0	1	0	1	0
118	1	24	0	0	1	247.52080 	0	1	1	0	0
122	2	32.5	1	0	0	30.07080 	0	1	1	0	0
124	1	54	0	0	1	77.28750 	0	1	0	0	1
127	3	24	0	0	0	7.14170 	0	1	0	0	1
132	3	47	1	0	0	14.50000 	1	0	0	0	1
133	2	29	1	0	0	26.00000 	1	0	0	0	1
140	3		0	0	2	15.24580 	1	0	1	0	0
141	3	22	0	0	0	7.75000 	1	0	0	0	1
142	3	24	1	0	0	15.85000 	1	0	0	0	1
144	2	18	0	0	0	11.50000 	0	1	0	0	1
145	2	19	1	0	1	36.75000 	0	1	0	0	1
150	2	51	0	0	0	12.52500 	0	1	0	0	1
154	3		0	0	0	7.31250 	0	1	0	0	1
155	1	51	0	0	1	61.37920 	0	1	1	0	0
156	3	16	0	0	0	7.73330 	1	0	0	1	0
157	3	30	0	0	0	8.05000 	0	1	0	0	1
158	3		0	0	0	8.66250 	0	1	0	0	1
159	3		8	1	2	69.55000 	0	1	0	0	1
161	2	40	0	0	0	15.75000 	1	0	0	0	1
162	3	26	0	0	0	7.77500 	0	1	0	0	1
165	3	9	0	0	2	20.52500 	0	1	0	0	1
167	3	45	1	0	4	27.90000 	1	0	0	0	1
170	1	61	0	0	0	33.50000 	0	1	0	0	1
171	3	4	4	1	1	29.12500 	0	1	0	1	0
172	3	1	1	0	1	11.13330 	1	0	0	0	1
173	3	21	0	0	0	7.92500 	0	1	0	0	1
175	3	18	1	0	1	7.85420 	0	1	0	0	1
178	2	30	0	0	0	13.00000 	0	1	0	0	1
179	3	36	0	0	0	0.00000 	0	1	0	0	1
181	2		0	0	0	15.05000 	0	1	1	0	0
185	1		0	0	0	50.00000 	0	1	0	0	1
187	1	45	0	0	0	26.55000 	0	1	0	0	1
188	3	40	1	0	1	15.50000 	0	1	0	1	0
190	2	32	0	0	0	13.00000 	1	0	0	0	1
193	2	3	1	0	1	26.00000 	0	1	0	0	1
194	1	44	0	0	0	27.72080 	1	0	1	0	0
196	3		0	0	0	7.75000 	0	1	0	1	0
198	3		0	0	0	7.75000 	1	0	0	1	0
200	3	28	0	0	0	9.50000 	0	1	0	0	1
202	3	34	0	0	0	6.49580 	0	1	0	0	1
204	3	18	0	0	0	8.05000 	0	1	0	0	1
205	3	2	0	0	1	10.46250 	1	0	0	0	1
206	3	32	1	0	0	15.85000 	0	1	0	0	1
208	3	16	0	0	0	7.75000 	1	0	0	1	0
210	3	24	0	0	0	7.05000 	0	1	0	0	1
211	2	35	0	0	0	21.00000 	1	0	0	0	1
214	3		1	0	0	7.75000 	0	1	0	1	0
215	1	31	1	0	0	113.27500 	1	0	1	0	0
218	1	32	0	0	0	76.29170 	1	0	1	0	0
220	3	16	0	0	0	8.05000 	0	1	0	0	1
222	3	51	0	0	0	8.05000 	0	1	0	0	1
223	3		0	0	0	7.89580 	0	1	0	0	1
229	3		3	1	1	25.46670 	1	0	0	0	1
230	1	35	1	0	0	83.47500 	1	0	0	0	1
231	3	29	0	0	0	7.77500 	0	1	0	0	1
233	3	5	4	1	2	31.38750 	1	0	0	0	1
235	3		0	0	0	7.55000 	1	0	0	0	1
236	2	44	1	0	0	26.00000 	0	1	0	0	1
238	2	19	0	0	0	10.50000 	0	1	0	0	1
239	2	33	0	0	0	12.27500 	0	1	0	0	1
240	3		1	0	0	14.45420 	1	0	1	0	0
241	3		1	0	0	15.50000 	1	0	0	1	0
242	2	29	0	0	0	10.50000 	0	1	0	0	1
243	3	22	0	0	0	7.12500 	0	1	0	0	1
245	1	44	2	0	0	90.00000 	0	1	0	1	0
247	2	24	0	0	2	14.50000 	1	0	0	0	1
249	2	54	1	0	0	26.00000 	0	1	0	0	1
250	3		0	0	0	7.25000 	0	1	0	0	1
251	3	29	1	0	1	10.46250 	1	0	0	0	1
252	1	62	0	0	0	26.55000 	0	1	0	0	1
253	3	30	1	0	0	16.10000 	0	1	0	0	1
255	3	29	0	0	2	15.24580 	1	0	1	0	0
258	1	35	0	0	0	512.32920 	1	0	1	0	0
261	3	3	4	1	2	31.38750 	0	1	0	0	1
262	1	52	1	0	1	79.65000 	0	1	0	0	1
263	1	40	0	0	0	0.00000 	0	1	0	0	1
264	3		0	0	0	7.75000 	1	0	0	1	0
266	3	16	4	1	1	39.68750 	0	1	0	0	1
267	3	25	1	0	0	7.77500 	0	1	0	0	1
268	1	58	0	0	1	153.46250 	1	0	0	0	1
270	1		0	0	0	31.00000 	0	1	0	0	1
271	3	25	0	0	0	0.00000 	0	1	0	0	1
272	2	41	0	0	1	19.50000 	1	0	0	0	1
278	3	7	4	1	1	29.12500 	0	1	0	1	0
279	3	35	1	0	1	20.25000 	1	0	0	0	1
283	3	19	0	0	0	8.05000 	0	1	0	0	1
285	3	33	0	0	0	8.66250 	0	1	1	0	0
293	3	24	0	0	0	8.85000 	1	0	0	0	1
294	3	24	0	0	0	7.89580 	0	1	0	0	1
298	1		0	0	0	30.50000 	0	1	0	0	1
299	1	50	0	0	1	247.52080 	1	0	1	0	0
301	3		2	0	0	23.25000 	0	1	0	1	0
302	3	19	0	0	0	0.00000 	0	1	0	0	1
303	2		0	0	0	12.35000 	1	0	0	1	0
304	3		0	0	0	8.05000 	0	1	0	0	1
306	1		0	0	0	110.88330 	1	0	1	0	0
308	2	30	1	0	0	24.00000 	0	1	1	0	0
309	1	30	0	0	0	56.92920 	1	0	1	0	0
310	1	24	0	0	0	83.15830 	1	0	1	0	0
311	1	18	2	0	2	262.37500 	1	0	1	0	0
312	2	26	1	0	1	26.00000 	1	0	0	0	1
313	3	28	0	0	0	7.89580 	0	1	0	0	1
315	3	26	0	0	0	7.85420 	1	0	0	0	1
316	2	24	1	0	0	26.00000 	1	0	0	0	1
317	2	54	0	0	0	14.00000 	0	1	0	0	1
318	1	31	0	0	2	164.86670 	1	0	0	0	1
319	1	40	1	0	1	134.50000 	1	0	1	0	0
320	3	22	0	0	0	7.25000 	0	1	0	0	1
327	2	36	0	0	0	13.00000 	1	0	0	0	1
331	1	45.5	0	0	0	28.50000 	0	1	0	0	1
333	3	16	2	0	0	18.00000 	0	1	0	0	1
334	1		1	0	0	133.65000 	1	0	0	0	1
337	1	41	0	0	0	134.50000 	1	0	1	0	0
338	3	45	0	0	0	8.05000 	0	1	0	0	1
342	2	28	0	0	0	13.00000 	0	1	0	0	1
344	2	36	0	0	0	13.00000 	0	1	0	0	1
345	2	24	0	0	0	13.00000 	1	0	0	0	1
346	2	40	0	0	0	13.00000 	1	0	0	0	1
350	3	23	0	0	0	9.22500 	0	1	0	0	1
351	1		0	0	0	35.00000 	0	1	0	0	1
352	3	15	1	0	1	7.22920 	0	1	1	0	0
354	3		0	0	0	7.22500 	0	1	1	0	0
356	1	22	0	0	1	55.00000 	1	0	0	0	1
358	3		0	0	0	7.87920 	1	0	0	1	0
361	2	29	1	0	0	27.72080 	0	1	1	0	0
362	3	45	0	0	1	14.45420 	1	0	1	0	0
363	3	35	0	0	0	7.05000 	0	1	0	0	1
364	3		1	0	0	15.50000 	0	1	0	1	0
366	1	60	1	0	0	75.25000 	1	0	1	0	0
367	3		0	0	0	7.22920 	1	0	1	0	0
372	3	19	0	0	0	8.05000 	0	1	0	0	1
374	3	3	3	1	1	21.07500 	1	0	0	0	1
375	1		1	0	0	82.17080 	1	0	1	0	0
378	3	20	0	0	0	4.01250 	0	1	1	0	0
379	3	19	0	0	0	7.77500 	0	1	0	0	1
380	1	42	0	0	0	227.52500 	1	0	1	0	0
382	3	32	0	0	0	7.92500 	0	1	0	0	1
384	3		0	0	0	7.89580 	0	1	0	0	1
386	3	1	5	1	2	46.90000 	0	1	0	0	1
389	2	17	0	0	0	12.00000 	1	0	1	0	0
390	1	36	1	0	2	120.00000 	0	1	0	0	1
391	3	21	0	0	0	7.79580 	0	1	0	0	1
392	3	28	2	0	0	7.92500 	0	1	0	0	1
395	3	22	0	0	0	7.79580 	0	1	0	0	1
397	2	46	0	0	0	26.00000 	0	1	0	0	1
399	2	28	0	0	0	12.65000 	1	0	0	0	1
401	3	26	0	0	0	8.05000 	0	1	0	0	1
402	3	21	1	0	0	9.82500 	1	0	0	0	1
403	3	28	1	0	0	15.85000 	0	1	0	0	1
406	3	51	0	0	0	7.75000 	0	1	0	0	1
408	3	21	0	0	0	7.77500 	0	1	0	0	1
409	3		3	1	1	25.46670 	1	0	0	0	1
412	1	33	1	0	0	90.00000 	1	0	0	1	0
413	2		0	0	0	0.00000 	0	1	0	0	1
416	2	34	1	0	1	32.50000 	1	0	0	0	1
418	2	30	0	0	0	13.00000 	0	1	0	0	1
420	3		0	0	0	7.89580 	0	1	1	0	0
422	3	29	0	0	0	7.87500 	0	1	0	0	1
424	3	18	1	0	1	20.21250 	0	1	0	0	1
425	3		0	0	0	7.25000 	0	1	0	0	1
428	3		0	0	0	7.75000 	0	1	0	1	0
432	2	42	1	0	0	26.00000 	1	0	0	0	1
434	1	50	1	0	0	55.90000 	0	1	0	0	1
436	3	21	2	0	2	34.37500 	1	0	0	0	1
439	2	31	0	0	0	10.50000 	0	1	0	0	1
440	2	45	1	0	1	26.25000 	1	0	0	0	1
441	3	20	0	0	0	9.50000 	0	1	0	0	1
443	2	28	0	0	0	13.00000 	1	0	0	0	1
447	1	34	0	0	0	26.55000 	0	1	0	0	1
451	3		1	0	0	19.96670 	0	1	0	0	1
452	1	30	0	0	0	27.75000 	0	1	1	0	0
453	1	49	1	0	0	89.10420 	0	1	1	0	0
456	1	65	0	0	0	26.55000 	0	1	0	0	1
457	1		1	0	0	51.86250 	1	0	0	0	1
458	2	50	0	0	0	10.50000 	1	0	0	0	1
460	1	48	0	0	0	26.55000 	0	1	0	0	1
462	1	47	0	0	0	38.50000 	0	1	0	0	1
465	3	38	0	0	0	7.05000 	0	1	0	0	1
467	1	56	0	0	0	26.55000 	0	1	0	0	1
471	3	38	0	0	0	8.66250 	0	1	0	0	1
474	3	22	0	0	0	9.83750 	1	0	0	0	1
475	1		0	0	0	52.00000 	0	1	0	0	1
476	2	34	1	0	0	21.00000 	0	1	0	0	1
477	3	29	1	0	0	7.04580 	0	1	0	0	1
479	3	2	0	0	1	12.28750 	1	0	0	0	1
481	2		0	0	0	0.00000 	0	1	0	0	1
482	3	50	0	0	0	8.05000 	0	1	0	0	1
483	3	63	0	0	0	9.58750 	1	0	0	0	1
484	1	25	1	0	0	91.07920 	0	1	1	0	0
485	3		3	1	1	25.46670 	1	0	0	0	1
487	1	58	0	0	0	29.70000 	0	1	1	0	0
489	3	9	1	0	1	15.90000 	0	1	0	0	1
491	3	21	0	0	0	7.25000 	0	1	0	0	1
492	1	55	0	0	0	30.50000 	0	1	0	0	1
493	1	71	0	0	0	49.50420 	0	1	1	0	0
494	3	21	0	0	0	8.05000 	0	1	0	0	1
495	3		0	0	0	14.45830 	0	1	1	0	0
496	1	54	1	0	0	78.26670 	1	0	1	0	0
500	3	17	0	0	0	8.66250 	0	1	0	0	1
501	3	21	0	0	0	7.75000 	1	0	0	1	0
503	3	37	0	0	0	9.58750 	1	0	0	0	1
505	1	18	1	0	0	108.90000 	0	1	1	0	0
506	2	33	0	0	2	26.00000 	1	0	0	0	1
511	3		0	0	0	8.05000 	0	1	0	0	1
513	1	54	1	0	0	59.40000 	1	0	1	0	0
516	2	34	0	0	0	10.50000 	1	0	0	0	1
518	2	36	1	0	0	26.00000 	1	0	0	0	1
519	3	32	0	0	0	7.89580 	0	1	0	0	1
520	1	30	0	0	0	93.50000 	1	0	0	0	1
521	3	22	0	0	0	7.89580 	0	1	0	0	1
522	3		0	0	0	7.22500 	0	1	1	0	0
523	1	44	0	0	1	57.97920 	1	0	1	0	0
524	3		0	0	0	7.22920 	0	1	1	0	0
526	2	50	0	0	0	10.50000 	1	0	0	0	1
527	1		0	0	0	221.77920 	0	1	0	0	1
529	2	23	2	0	1	11.50000 	0	1	0	0	1
530	2	2	1	0	1	26.00000 	1	0	0	0	1
531	3		0	0	0	7.22920 	0	1	1	0	0
532	3	17	1	0	1	7.22920 	0	1	1	0	0
533	3		0	0	2	22.35830 	1	0	1	0	0
535	2	7	0	0	2	26.25000 	1	0	0	0	1
538	3		0	0	0	14.50000 	0	1	0	0	1
542	3	11	4	1	2	31.27500 	1	0	0	0	1
545	1	64	0	0	0	26.00000 	0	1	0	0	1
549	2	8	1	0	1	36.75000 	0	1	0	0	1
553	3	22	0	0	0	7.22500 	0	1	1	0	0
557	1		0	0	0	227.52500 	0	1	1	0	0
558	1	39	1	0	1	79.65000 	1	0	0	0	1
561	3	40	0	0	0	7.89580 	0	1	0	0	1
563	3		0	0	0	8.05000 	0	1	0	0	1
564	3		0	0	0	8.05000 	1	0	0	0	1
566	3	19	0	0	0	7.89580 	0	1	0	0	1
567	3	29	0	0	4	21.07500 	1	0	0	0	1
570	2	62	0	0	0	10.50000 	0	1	0	0	1
572	1	36	0	0	0	26.38750 	0	1	0	0	1
