id	survived	pclass	age	sibsp	parch	fare	sex_female	sex_male	embarked_C	embarked_Q	embarked_S
3	1	1	35.0	1	0	53.1	1	0	0	0	1
4	0	3	35.0	0	0	8.05	0	1	0	0	1
7	0	3	2.0	3	1	21.075	0	1	0	0	1
9	1	2	14.0	1	0	30.0708	1	0	1	0	0
11	1	1	58.0	0	0	26.55	1	0	0	0	1
13	0	3	39.0	1	5	31.275	0	1	0	0	1
16	0	3	2.0	4	1	29.125	0	1	0	1	0
19	1	3		0	0	7.225	1	0	1	0	0
23	1	1	28.0	0	0	35.5	0	1	0	0	1
24	0	3	8.0	3	1	21.075	1	0	0	0	1
25	1	3	38.0	1	5	31.3875	1	0	0	0	1
26	0	3		0	0	7.225	0	1	1	0	0
28	1	3		0	0	7.8792	1	0	0	1	0
29	0	3		0	0	7.8958	0	1	0	0	1
32	1	3		0	0	7.75	1	0	0	1	0
33	0	2	66.0	0	0	10.5	0	1	0	0	1
36	1	3		0	0	7.2292	0	1	1	0	0
41	0	2	27.0	1	0	21.0	1	0	0	0	1
42	0	3		0	0	7.8958	0	1	1	0	0
43	1	2	3.0	1	2	41.5792	1	0	1	0	0
44	1	3	19.0	0	0	7.8792	1	0	0	1	0
47	1	3		0	0	7.75	1	0	0	1	0
53	1	2	29.0	1	0	26.0	1	0	0	0	1
56	1	2	21.0	0	0	10.5	1	0	0	0	1
57	0	3	28.5	0	0	7.2292	0	1	1	0	0
58	1	2	5.0	1	2	27.75	1	0	0	0	1
59	0	3	11.0	5	2	46.9	0	1	0	0	1
61	1	1	38.0	0	0	80.0	1	0	0	0	0
63	0	3	4.0	3	2	27.9	0	1	0	0	1
67	0	3	19.0	0	0	8.1583	0	1	0	0	1
69	0	3	26.0	2	0	8.6625	0	1	0	0	1
70	0	2	32.0	0	0	10.5	0	1	0	0	1
72	0	2	21.0	0	0	73.5	0	1	0	0	1
73	0	3	26.0	1	0	14.4542	0	1	1	0	0
80	0	3	22.0	0	0	9.0	0	1	0	0	1
82	1	3		0	0	7.7875	1	0	0	1	0
83	0	1	28.0	0	0	47.1	0	1	0	0	1
84	1	2	17.0	0	0	10.5	1	0	0	0	1
86	0	3	16.0	1	3	34.375	0	1	0	0	1
87	0	3		0	0	8.05	0	1	0	0	1
88	1	1	23.0	3	2	263.0	1	0	0	0	1
91	0	3	20.0	0	0	7.8542	0	1	0	0	1
93	0	3	26.0	1	2	20.575	0	1	0	0	1
94	0	3	59.0	0	0	7.25	0	1	0	0	1
95	0	3		0	0	8.05	0	1	0	0	1
98	1	2	34.0	0	1	23.0	1	0	0	0	1
99	0	2	34.0	1	0	26.0	0	1	0	0	1
106	1	3	21.0	0	0	7.65	1	0	0	0	1
110	0	1	47.0	0	0	52.0	0	1	0	0	1
111	0	3	14.5	1	0	14.4542	1	0	1	0	0
112	0	3	22.0	0	0	8.05	0	1	0	0	1
114	0	3	17.0	0	0	14.4583	1	0	1	0	0
115	0	3	21.0	0	0	7.925	0	1	0	0	1
117	0	2	29.0	1	0	21.0	0	1	0	0	1
119	0	3	2.0	4	2	31.275	1	0	0	0	1
120	0	2	21.0	2	0	73.5	0	1	0	0	1
121	0	3		0	0	8.05	0	1	0	0	1
123	1	2	32.5	0	0	13.0	1	0	0	0	1
125	1	3	12.0	1	0	11.2417	0	1	1	0	0
126	0	3		0	0	7.75	0	1	0	1	0
128	1	3		1	1	22.3583	1	0	1	0	0
129	0	3	45.0	0	0	6.975	0	1	0	0	1
130	0	3	33.0	0	0	7.8958	0	1	1	0	0
131	0	3	20.0	0	0	7.05	0	1	0	0	1
134	0	2	25.0	0	0	13.0	0	1	0	0	1
135	0	2	23.0	0	0	15.0458	0	1	1	0	0
136	1	1	19.0	0	2	26.2833	1	0	0	0	1
137	0	1	37.0	1	0	53.1	0	1	0	0	1
138	0	3	16.0	0	0	9.2167	0	1	0	0	1
139	0	1	24.0	0	0	79.2	0	1	1	0	0
143	0	3	19.0	0	0	6.75	0	1	0	1	0
146	1	3	27.0	0	0	7.7958	0	1	0	0	1
147	0	3	9.0	2	2	34.375	1	0	0	0	1
148	0	2	36.5	0	2	26.0	0	1	0	0	1
149	0	2	42.0	0	0	13.0	0	1	0	0	1
151	1	1	22.0	1	0	66.6	1	0	0	0	1
152	0	3	55.5	0	0	8.05	0	1	0	0	1
153	0	3	40.5	0	2	14.5	0	1	0	0	1
160	0	3	44.0	0	1	16.1	0	1	0	0	1
163	0	3	17.0	0	0	8.6625	0	1	0	0	1
164	0	3	1.0	4	1	39.6875	0	1	0	0	1
166	1	1		0	1	55.0	1	0	0	0	1
168	0	1		0	0	25.925	0	1	0	0	1
169	0	3	28.0	0	0	56.4958	0	1	0	0	1
174	0	1	56.0	0	0	30.6958	0	1	1	0	0
176	0	3		3	1	25.4667	0	1	0	0	1
177	0	1	50.0	0	0	28.7125	1	0	1	0	0
180	0	3		8	2	69.55	1	0	0	0	1
182	0	3	9.0	4	2	31.3875	0	1	0	0	1
183	1	2	1.0	2	1	39.0	0	1	0	0	1
184	1	3	4.0	0	2	22.025	1	0	0	0	1
186	1	3		1	0	15.5	1	0	0	1	0
189	0	3	36.0	0	0	7.8958	0	1	0	0	1
191	0	2	19.0	0	0	13.0	0	1	0	0	1
192	1	3	19.0	1	0	7.8542	1	0	0	0	1
195	1	1	58.0	0	0	146.5208	1	0	1	0	0
197	0	3	42.0	0	1	8.4042	0	1	0	0	1
199	0	2	24.0	0	0	13.0	1	0	0	0	1
201	0	3		8	2	69.55	0	1	0	0	1
203	0	3	45.5	0	0	7.225	0	1	1	0	0
207	1	3	26.0	0	0	18.7875	0	1	1	0	0
209	1	1	40.0	0	0	31.0	0	1	1	0	0
212	0	3	22.0	0	0	7.25	0	1	0	0	1
213	0	2	30.0	0	0	13.0	0	1	0	0	1
216	1	3	27.0	0	0	7.925	1	0	0	0	1
217	0	2	42.0	1	0	27.0	0	1	0	0	1
219	0	2	30.0	0	0	10.5	0	1	0	0	1
221	0	2	27.0	0	0	13.0	0	1	0	0	1
224	1	1	38.0	1	0	90.0	0	1	0	0	1
225	0	3	22.0	0	0	9.35	0	1	0	0	1
226	1	2	19.0	0	0	10.5	0	1	0	0	1
227	0	3	20.5	0	0	7.25	0	1	0	0	1
228	0	2	18.0	0	0	13.0	0	1	0	0	1
232	0	2	59.0	0	0	13.5	0	1	0	0	1
234	0	2	24.0	0	0	10.5	0	1	0	0	1
237	1	2	8.0	0	2	26.25	1	0	0	0	1
244	0	3	30.0	0	0	7.225	0	1	1	0	0
246	0	3	25.0	0	0	7.775	1	0	0	0	1
248	1	1	37.0	1	1	52.5542	0	1	0	0	1
254	0	3	41.0	0	2	20.2125	1	0	0	0	1
256	1	1		0	0	79.2	1	0	1	0	0
257	1	1	30.0	0	0	86.5	1	0	0	0	1
259	1	2	50.0	0	1	26.0	1	0	0	0	1
260	0	3		0	0	7.75	0	1	0	1	0
265	0	2	36.0	0	0	10.5	0	1	0	0	1
269	1	1	35.0	0	0	135.6333	1	0	0	0	1
273	0	1	37.0	0	1	29.7	0	1	1	0	0
274	1	3		0	0	7.75	1	0	0	1	0
275	1	1	63.0	1	0	77.9583	1	0	0	0	1
276	0	3	45.0	0	0	7.75	1	0	0	0	1
277	0	2		0	0	0.0	0	1	0	0	1
280	0	3	65.0	0	0	7.75	0	1	0	1	0
281	0	3	28.0	0	0	7.8542	0	1	0	0	1
282	0	3	16.0	0	0	9.5	0	1	0	0	1
284	0	1		0	0	26.0	0	1	0	0	1
286	1	3	30.0	0	0	9.5	0	1	0	0	1
287	0	3	22.0	0	0	7.8958	0	1	0	0	1
288	1	2	42.0	0	0	13.0	0	1	0	0	1
289	1	3	22.0	0	0	7.75	1	0	0	1	0
290	1	1	26.0	0	0	78.85	1	0	0	0	1
291	1	1	19.0	1	0	91.0792	1	0	1	0	0
292	0	2	36.0	0	0	12.875	0	1	1	0	0
295	0	1		0	0	27.7208	0	1	1	0	0
296	0	3	23.5	0	0	7.2292	0	1	1	0	0
297	0	1	2.0	1	2	151.55	1	0	0	0	1
300	1	3		0	0	7.75	1	0	0	1	0
305	1	1	0.92	1	2	151.55	0	1	0	0	1
307	1	1	17.0	1	0	108.9	1	0	1	0	0
314	0	2	43.0	1	1	26.25	0	1	0	0	1
321	0	3	27.0	0	0	7.8958	0	1	0	0	1
322	1	2	30.0	0	0	12.35	1	0	0	1	0
323	1	2	22.0	1	1	29.0	1	0	0	0	1
324	0	3		8	2	69.55	0	1	0	0	1
325	1	1	36.0	0	0	135.6333	1	0	1	0	0
326	0	3	61.0	0	0	6.2375	0	1	0	0	1
328	1	3	31.0	1	1	20.525	1	0	0	0	1
329	1	1	16.0	0	1	57.9792	1	0	1	0	0
330	1	3		2	0	23.25	1	0	0	1	0
332	0	1	38.0	0	1	153.4625	0	1	0	0	1
335	0	3		0	0	7.8958	0	1	0	0	1
336	0	1	29.0	1	0	66.6	0	1	0	0	1
339	0	1	45.0	0	0	35.5	0	1	0	0	1
340	1	2	2.0	1	1	26.0	0	1	0	0	1
341	1	1	24.0	3	2	263.0	1	0	0	0	1
343	0	2	25.0	0	0	13.0	0	1	0	0	1
347	1	3		1	0	16.1	1	0	0	0	1
348	1	3	3.0	1	1	15.9	0	1	0	0	1
349	0	3	42.0	0	0	8.6625	0	1	0	0	1
353	0	3	25.0	1	0	17.8	0	1	0	0	1
355	0	3	28.0	0	0	9.5	0	1	0	0	1
357	0	2	38.0	0	0	13.0	1	0	0	0	1
359	1	3		0	0	7.8792	1	0	0	1	0
360	0	3	40.0	1	4	27.9	0	1	0	0	1
365	0	3	30.0	0	0	7.25	0	1	0	0	1
368	1	3		0	0	7.75	1	0	0	1	0
369	1	1	24.0	0	0	69.3	1	0	1	0	0
370	1	1	25.0	1	0	55.4417	0	1	1	0	0
371	0	3	18.0	1	0	6.4958	0	1	0	0	1
373	0	1	22.0	0	0	135.6333	0	1	1	0	0
376	1	3	22.0	0	0	7.25	1	0	0	0	1
377	0	1	27.0	0	2	211.5	0	1	1	0	0
381	1	3	1.0	0	2	15.7417	1	0	1	0	0
383	1	1	35.0	1	0	52.0	1	0	0	0	1
385	0	2	18.0	0	0	73.5	0	1	0	0	1
387	1	2	36.0	0	0	13.0	1	0	0	0	1
388	0	3		0	0	7.7292	0	1	0	1	0
393	1	1	23.0	1	0	113.275	1	0	1	0	0
394	1	3	24.0	0	2	16.7	1	0	0	0	1
396	0	3	31.0	0	0	7.8542	1	0	0	0	1
398	0	2	23.0	0	0	10.5	0	1	0	0	1
400	1	3	39.0	0	0	7.925	0	1	0	0	1
404	0	3	20.0	0	0	8.6625	1	0	0	0	1
405	0	2	34.0	1	0	21.0	0	1	0	0	1
407	1	2	3.0	1	1	18.75	0	1	0	0	1
410	0	3		0	0	7.8958	0	1	0	0	1
411	0	3		0	0	6.8583	0	1	0	1	0
414	1	3	44.0	0	0	7.925	0	1	0	0	1
415	0	3		0	0	8.05	1	0	0	0	1
417	1	2	18.0	0	2	13.0	1	0	0	0	1
419	0	3	10.0	0	2	24.15	1	0	0	0	1
421	0	3	21.0	0	0	7.7333	0	1	0	1	0
423	0	3	28.0	1	1	14.4	1	0	0	0	1
426	1	2	28.0	1	0	26.0	1	0	0	0	1
427	1	2	19.0	0	0	26.0	1	0	0	0	1
